"","MSBG01","MSBG03","MSBG04","MSBG05","MSBG06A","MSBG06B","MSBG06C","MSBG06D","MSBG06E","MSBG06F","MSBG06G","MSBG06H","MSBG07A","MSBG07B","MSBG09","MSBG10A","MSBG10B","MSBG10C","MSBG10D","MSBG10E","MSBG10F","MSBG10G","MSBG10H","MSBG10I","MSBG10J","MSBG10K","MSBG10L","MSBG10M","MSBG12A","MSBG12B","MSBG13A","MSBM14","MSBM15","MSBM16A","MSBM17A","MSBM18A","MSBM18B","MSBM18C","MSBM18D","MSBM18F","MSBM18G","MSBM18H","MSBM18I","MSBM18J","MSBM18K","MSBM18L","MSBM18M","MSBM18N","MSBM18O","MSBM19A","MSBM19B","MSBM19C","MSBM19D","MSBM19E","MSBM19F","MSBM19G","MSBM20A","MSBM20B","MSBM20C","MSBM20D","MSBM20E","MSBM20F","MSBM20G","MSBM20H","MSBM20I","MSBM20J","MSBM20K","MSBM20L","MSBM21A","MSBM21B","MSBM21C","MSBM21E","MSBM21F","MSBM21G","MSBM21H","MSBM21I","MSBM22A","MSBM22B","MSBM22C","MSBM22D","MSBM22E","MSBM22F","MSBM22G","MSBM22H","MSBM22I","MSBM23A","MSBM23B","MSBM23C","MSBM23D","MSBM23E","MSBM23F","MSBM23G","MSBM23H","TOTWGT","AtRisk"
"1",1,1,5,5,1,1,1,1,1,1,1,1,3,6,6,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,300,120,1,2,1,1,1,2,1,2,1,1,2,2,4,3,1,1,1,2,1,1,1,1,1,2,1,3,2,2,4,1,1,1,2,3,2,1,1,2,1,3,2,2,2,2,1,1,2,2,2,2,2,3,3,3,3,4,4,4,3,4,225.997366,"0"
"2",2,1,5,3,1,2,1,1,2,1,2,1,6,6,5,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,260,10,2,2,2,1,1,3,2,1,2,2,2,3,3,1,1,2,2,2,2,2,2,1,1,1,1,2,3,1,2,2,2,3,2,3,2,2,1,4,1,4,1,2,2,1,1,2,2,2,2,1,3,4,1,4,4,2,4,4,3,4,144.073321,"0"
"3",1,3,5,5,1,2,1,1,2,1,1,2,6,6,5,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,560,120,2,2,2,1,1,1,2,1,1,1,2,2,3,3,1,2,1,1,2,2,1,1,1,1,1,3,2,1,4,2,1,1,1,3,2,1,1,2,1,4,1,1,1,3,2,2,3,3,2,2,2,2,4,4,4,4,4,4,4,4,144.073321,"0"
"4",1,1,5,5,2,2,1,1,1,1,1,1,7,7,4,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,280,120,2,1,2,2,3,4,3,4,2,3,2,2,3,3,2,3,2,1,2,2,2,1,1,3,3,1,4,4,1,4,4,4,4,1,4,2,2,1,1,2,1,3,2,2,1,1,1,2,1,1,1,3,4,3,4,4,4,4,4,4,144.073321,"0"
"5",2,1,5,5,1,1,1,1,1,1,1,1,5,7,6,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,280,240,1,2,2,3,2,2,2,1,1,1,1,1,4,2,1,2,1,1,2,2,2,1,2,1,1,2,4,2,4,3,1,1,3,4,2,1,1,2,1,3,1,1,1,1,1,2,1,4,2,2,2,4,1,3,2,3,4,4,4,4,225.997366,"0"
"6",1,2,5,5,1,1,1,1,1,1,1,1,6,3,6,2,2,1,1,2,2,2,1,2,2,2,2,2,1,1,2,300,120,2,2,1,1,1,2,2,1,2,1,2,2,2,2,1,1,2,2,2,2,2,1,2,1,1,1,2,2,3,2,2,2,2,4,2,2,1,3,1,4,1,2,2,2,2,1,2,1,1,1,1,2,4,4,4,4,4,4,4,4,144.073321,"0"
"7",1,1,5,4,1,2,1,1,2,1,1,1,6,7,5,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,270,180,1,1,2,1,1,2,2,2,2,3,2,1,2,4,1,2,1,1,2,1,2,1,1,2,1,1,4,2,2,2,3,4,2,4,1,1,1,3,1,3,1,1,1,2,1,1,1,1,2,1,2,3,4,4,4,4,4,4,4,4,144.073321,"0"
"8",2,1,4,3,1,2,1,1,2,1,1,2,6,5,6,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,245,120,2,2,1,1,2,2,2,2,1,1,1,1,2,2,1,2,1,1,2,1,2,1,2,1,1,1,3,2,4,2,2,2,2,4,3,1,1,4,1,4,1,2,2,2,1,2,1,2,1,1,1,2,4,4,4,4,4,4,3,4,144.073321,"0"
"9",2,3,5,2,1,2,2,1,2,1,1,2,7,7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,315,45,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,1,1,4,1,1,1,1,4,1,1,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,225.997366,"0"
"10",1,2,3,4,1,2,1,1,1,1,1,1,5,6,4,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,300,300,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,3,2,2,3,2,3,3,1,2,3,1,2,2,1,1,2,1,1,2,1,1,2,2,2,3,4,3,4,4,4,4,4,144.073321,"0"
"11",2,1,2,3,1,2,1,1,1,1,1,2,5,7,4,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,262,20,2,2,3,1,3,4,2,3,2,3,1,2,3,3,2,3,1,1,1,2,2,1,1,1,2,2,4,4,3,4,4,3,3,2,4,4,4,4,1,4,1,3,4,3,1,1,1,3,2,2,2,2,2,4,4,4,4,4,4,4,225.997366,"0"
"12",2,1,3,5,1,2,1,1,1,1,2,2,5,3,5,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,1,300,570,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2,4,1,1,1,1,4,1,1,1,4,1,4,1,1,1,2,4,2,2,3,2,1,2,2,3,4,4,4,4,3,4,4,32.676708,"0"
"13",2,1,4,4,1,2,1,1,1,1,1,2,6,6,4,1,2,2,1,2,2,2,2,2,2,2,1,2,1,1,1,300,420,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,3,1,3,4,2,2,3,2,2,3,4,3,1,1,4,1,4,1,2,1,2,4,4,2,2,4,4,2,2,4,4,4,4,4,4,4,4,32.676708,"0"
"14",1,1,2,3,1,1,1,1,2,2,2,2,3,3,5,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1200,840,2,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,3,2,1,1,3,3,1,4,2,1,1,4,1,4,1,1,1,3,2,3,2,2,3,3,4,4,4,4,4,4,4,4,4,4,32.676708,"0"
"15",1,2,2,5,2,2,1,1,1,1,2,2,6,6,5,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,840,780,2,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,4,3,1,2,1,1,1,2,2,1,1,1,4,1,4,1,2,1,4,4,4,2,3,2,1,2,2,3,1,4,4,4,2,2,4,32.676708,"0"
"16",1,3,2,5,1,1,1,1,1,1,1,1,5,6,4,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,780,300,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,3,2,2,1,2,1,2,2,3,1,2,4,1,2,2,1,1,2,3,2,2,2,2,2,2,2,3,4,4,3,4,4,4,3,32.676708,"0"
"17",1,1,4,3,2,2,2,1,1,1,2,2,6,6,6,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,780,300,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,4,1,1,1,1,4,1,1,1,3,1,4,1,1,1,2,2,2,2,1,1,1,1,1,4,4,4,4,4,4,4,4,32.676708,"0"
"18",2,3,3,2,1,2,1,1,2,1,1,2,3,5,4,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,780,300,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,2,1,1,3,1,1,1,1,4,1,1,1,4,1,4,1,1,1,1,1,1,1,3,1,1,1,1,3,4,4,3,4,4,4,4,147.045187,"0"
"19",1,2,2,4,1,2,1,1,1,1,2,2,2,2,6,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,720,720,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,3,2,2,1,1,4,3,1,1,4,1,4,1,2,1,3,3,3,2,2,3,2,3,3,4,4,4,4,4,4,4,4,32.676708,"0"
"20",1,1,2,5,1,2,1,1,1,1,1,1,6,2,4,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1040,560,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,2,1,2,3,3,2,3,3,4,4,3,2,1,1,3,1,4,1,1,1,3,4,2,1,1,2,2,1,2,4,4,4,4,4,4,4,4,32.676708,"0"
"21",1,2,2,4,1,1,1,1,1,1,1,1,3,3,4,1,2,2,1,2,1,2,1,2,2,2,2,2,2,2,1,740,360,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,3,2,1,1,1,1,1,1,2,1,3,3,2,2,3,1,1,1,4,3,1,1,4,1,4,1,1,1,3,4,4,2,2,4,2,2,3,3,2,4,4,4,4,4,4,32.676708,"0"
"22",1,1,5,4,1,2,1,1,1,1,1,1,6,6,5,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,450,180,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,4,1,1,4,1,1,1,1,4,1,1,1,4,1,4,1,1,1,1,1,1,2,1,1,1,1,2,4,4,4,4,4,4,4,4,102.307004,"0"
"23",1,1,2,3,1,2,1,1,2,2,1,1,5,5,4,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,215,60,1,2,2,2,1,3,2,1,1,1,2,2,3,4,2,2,2,2,2,2,2,1,1,3,2,3,4,4,3,4,2,4,4,1,4,2,2,2,1,2,1,2,1,2,1,2,2,1,1,1,2,3,4,4,4,4,4,4,4,4,102.307004,"0"
"24",1,1,4,4,2,1,1,2,1,1,1,1,7,5,5,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,225,200,2,2,1,1,1,2,2,1,1,1,2,1,1,2,1,1,2,1,1,2,2,1,1,2,1,2,4,3,2,2,1,2,2,3,3,2,1,3,1,3,1,1,1,2,1,1,1,1,1,2,1,2,3,3,3,4,4,4,4,4,102.307004,"0"
"25",1,1,4,5,1,1,1,1,1,1,1,1,6,6,4,2,2,2,1,2,2,2,1,2,1,2,2,2,1,1,1,275,120,1,2,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,1,1,2,2,1,4,3,2,3,2,3,3,2,4,2,1,2,1,2,1,2,3,1,1,1,1,1,1,1,1,2,4,3,4,4,4,4,4,4,102.307004,"0"
"26",2,1,3,4,1,2,1,1,1,1,1,1,7,3,4,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,510,300,2,2,1,1,2,1,2,1,1,1,1,2,2,3,1,1,2,1,2,2,2,1,1,1,1,3,2,3,4,2,2,1,2,4,3,1,1,3,1,3,2,3,2,2,1,1,1,1,1,1,1,2,3,4,4,3,4,3,4,4,102.307004,"0"
"27",1,1,4,4,1,2,1,2,2,2,2,2,1,1,5,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,450,150,1,2,1,1,1,2,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,1,1,1,1,3,3,3,3,3,2,3,3,3,3,2,1,3,2,3,1,2,2,2,2,2,1,1,1,2,2,2,4,4,4,4,4,4,4,4,629.581567,"0"
"28",1,1,4,4,1,2,1,1,1,2,1,1,6,5,6,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,225,105,2,2,1,1,2,2,3,1,3,1,2,2,3,3,2,1,2,2,2,2,2,2,1,3,3,3,3,3,4,3,3,2,2,4,3,2,1,3,1,3,1,3,3,1,1,1,2,1,1,2,1,2,4,4,4,4,4,4,4,4,102.307004,"0"
"29",2,1,3,3,1,2,1,1,1,2,1,1,6,2,5,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,450,200,1,2,1,1,1,1,1,1,1,1,1,2,1,3,1,1,2,1,2,2,2,1,1,1,1,3,4,1,4,1,1,1,1,4,2,1,1,3,1,4,1,1,2,2,1,1,1,1,1,1,1,1,3,4,4,4,4,4,4,4,102.307004,"0"
"30",2,1,3,3,1,2,1,1,1,1,1,1,3,7,5,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,450,210,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,2,3,1,1,4,1,2,1,1,3,3,1,1,4,1,3,1,1,1,1,1,1,1,2,1,2,1,2,3,3,3,4,4,4,4,4,102.307004,"0"
"31",1,1,5,4,1,2,1,1,2,1,1,1,6,6,5,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,500,120,1,2,1,1,1,1,1,1,1,1,2,1,2,3,1,1,2,2,2,2,2,1,1,3,1,3,2,3,4,1,1,1,1,4,2,1,1,3,1,4,1,1,1,2,1,1,1,2,1,1,1,3,4,4,3,4,4,4,4,4,102.307004,"0"
"32",1,1,3,3,1,2,1,1,1,1,1,2,5,3,4,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,260,280,2,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,2,2,1,1,1,2,3,2,3,3,1,2,3,3,3,2,1,3,2,3,2,1,1,2,2,1,1,1,1,1,1,1,4,3,4,4,4,4,4,4,308.945869,"0"
"33",2,1,5,2,2,2,2,1,1,1,1,2,6,7,5,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,216,360,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,3,1,4,2,2,1,2,3,2,2,1,3,1,4,1,2,2,2,1,2,1,1,2,2,2,2,4,3,4,4,4,4,4,4,308.945869,"0"
"34",1,1,5,4,1,2,2,1,1,1,1,2,9,9,5,1,1,2,2,2,2,2,2,2,2,2,1,2,1,1,1,260,180,2,2,1,1,1,2,1,2,2,1,1,2,2,2,2,1,1,2,1,2,2,1,1,2,3,3,4,3,3,2,2,2,2,3,3,2,1,4,2,3,2,2,1,2,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,308.945869,"0"
"35",1,1,2,3,2,1,1,1,2,1,1,1,3,6,4,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,260,180,2,2,1,1,1,4,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,1,3,2,1,4,4,2,3,4,4,4,1,4,3,1,1,2,2,1,3,1,3,1,1,1,1,1,2,2,2,4,4,4,4,4,4,4,4,308.945869,"0"
"36",1,1,5,4,1,2,1,1,1,1,1,2,6,6,6,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,260,250,2,2,1,1,1,2,2,2,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,2,3,2,4,1,1,1,1,4,2,1,1,4,1,4,1,2,1,3,1,1,1,1,1,1,1,1,4,3,4,4,4,4,4,4,308.945869,"0"
"37",1,1,4,4,2,2,1,1,1,1,1,1,5,7,6,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,260,200,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,3,2,2,4,1,2,1,1,4,1,1,1,4,2,4,2,2,2,2,1,1,1,1,2,2,2,2,4,4,4,4,4,4,4,4,308.945869,"0"
"38",1,1,5,3,1,2,1,1,1,2,1,2,5,6,5,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,260,320,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,3,1,2,3,2,4,3,4,2,2,1,3,2,1,3,1,4,2,2,2,1,1,1,1,1,1,1,2,2,3,4,4,4,3,4,4,4,308.945869,"0"
"39",2,2,5,5,2,1,2,1,1,1,1,1,7,7,5,1,1,1,1,2,1,2,1,2,2,1,2,2,1,1,1,260,150,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,3,1,1,1,2,3,1,2,2,3,2,3,1,4,2,1,1,1,1,1,1,2,2,2,2,4,3,4,4,4,4,4,308.945869,"0"
"40",2,1,5,5,1,2,1,1,1,1,2,1,6,7,5,2,2,1,1,2,2,2,2,1,2,2,2,2,1,1,1,315,200,2,2,1,2,1,1,1,1,1,1,3,1,3,3,1,1,2,1,2,1,2,1,1,1,1,3,3,1,4,3,1,1,1,4,1,2,1,3,1,4,1,3,1,2,2,3,2,1,1,2,1,3,4,3,4,4,4,4,4,4,834.153846,"0"
"41",1,1,5,3,1,2,1,1,1,1,1,1,6,9,5,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,225,180,2,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,3,1,2,3,3,4,2,1,1,2,4,2,1,1,4,1,4,1,1,1,1,2,1,1,1,1,1,1,2,4,3,4,4,4,4,4,4,834.153846,"0"
"42",2,1,5,3,1,1,2,1,2,1,1,2,7,7,6,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,225,225,2,2,1,1,1,2,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,2,2,2,3,3,2,4,2,3,3,4,3,3,2,1,3,1,4,1,1,2,1,1,3,2,1,2,1,1,3,3,4,4,4,4,4,4,4,834.153846,"0"
"43",2,1,3,4,1,2,1,1,1,1,1,1,6,3,4,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,225,300,2,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,1,1,2,1,2,2,1,1,4,2,1,4,1,1,1,1,4,3,1,1,4,1,4,1,2,1,2,1,2,1,1,2,1,1,1,4,4,4,4,4,4,4,4,834.153846,"0"
"44",1,1,5,5,1,2,1,1,1,1,1,2,3,6,5,2,2,2,1,2,2,2,2,2,2,1,1,2,2,1,1,225,150,2,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,1,2,1,1,2,1,2,2,2,3,1,2,2,2,4,2,1,1,4,1,4,1,2,1,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,834.153846,"0"
"45",1,1,5,4,1,2,1,1,1,1,1,1,7,6,5,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,225,120,2,2,1,1,1,2,2,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,1,2,4,4,3,3,2,3,4,2,4,1,1,3,1,3,1,1,1,2,1,1,1,1,2,2,1,1,4,4,4,4,4,4,4,4,834.153846,"0"
"46",2,1,4,5,1,2,1,1,2,1,1,2,6,6,4,2,2,2,2,2,1,2,1,2,1,1,2,2,1,1,1,200,45,2,2,1,1,1,1,1,1,1,1,2,1,3,3,2,1,2,2,2,1,2,1,1,1,1,1,4,3,4,3,2,4,4,4,2,1,1,2,1,4,1,2,2,2,1,1,1,1,1,2,1,2,4,4,4,4,4,4,4,4,772.364673,"0"
"47",2,1,4,5,1,1,1,1,1,1,1,1,5,5,6,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,45,100,1,2,1,2,1,1,1,3,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,2,1,2,4,1,3,1,1,1,3,2,3,2,1,1,2,2,1,1,2,2,1,2,2,3,2,2,2,2,3,1,2,4,4,4,3,4,772.364673,"0"
"48",2,3,3,3,1,1,1,1,2,2,1,2,5,3,4,2,2,2,2,2,1,1,2,2,2,1,2,1,2,2,2,225,150,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,3,3,4,3,2,3,2,3,2,3,2,3,1,4,2,3,2,2,3,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,772.364673,"0"
"49",1,3,3,5,1,2,1,1,2,1,1,2,6,7,5,2,2,2,2,2,1,2,1,1,1,1,2,2,2,2,2,240,420,2,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,2,1,1,2,1,2,2,3,3,2,2,3,3,4,1,1,1,3,1,4,1,1,1,1,1,2,2,1,1,3,1,1,4,4,4,4,4,4,4,4,772.364673,"0"
"50",1,2,4,5,1,2,1,1,1,1,1,1,8,8,6,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,195,0,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,2,1,4,4,3,2,2,4,4,2,4,1,1,2,1,2,1,2,2,2,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,772.364673,"0"
"51",2,1,3,4,2,2,1,1,1,1,1,1,6,5,4,2,1,2,2,2,2,2,2,2,2,2,1,2,1,1,1,200,30,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2,1,1,2,2,1,4,2,3,4,2,3,3,2,4,2,1,2,1,2,1,4,2,2,1,1,1,2,1,1,1,1,4,4,4,3,4,4,4,4,772.364673,"0"
"52",1,1,5,4,1,2,1,1,2,1,1,2,6,6,4,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,200,50,2,2,1,1,2,4,1,1,1,1,1,1,2,3,1,2,2,2,2,2,2,1,1,3,2,1,4,4,1,4,4,4,4,1,4,4,2,1,2,1,1,4,4,3,1,1,1,1,1,2,1,2,4,4,4,4,4,4,4,4,772.364673,"0"
"53",1,1,5,4,2,2,2,1,2,1,2,2,6,6,5,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,200,50,2,2,2,1,2,3,1,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,4,4,2,4,4,4,4,3,4,3,1,2,1,3,1,4,1,3,2,2,2,2,2,2,1,2,3,4,4,4,4,4,3,4,772.364673,"1"
"54",2,1,5,5,1,1,1,1,1,1,2,2,2,7,4,2,1,2,2,1,2,1,2,2,2,2,2,1,1,1,1,240,300,2,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,1,1,1,1,2,3,2,4,2,1,1,1,4,1,1,1,3,1,4,1,2,2,1,1,1,1,1,1,1,1,1,4,4,3,4,3,3,3,3,772.364673,"0"
"55",1,1,5,4,1,2,1,1,2,1,1,1,8,8,6,2,2,2,1,2,2,2,1,2,1,1,2,2,1,1,1,195,30,1,2,1,2,2,1,1,2,1,2,2,1,2,1,1,2,2,1,2,2,2,1,2,3,2,1,4,4,2,3,3,4,4,2,4,1,2,2,1,2,1,3,2,3,1,2,3,1,3,2,3,3,3,3,3,4,4,4,4,4,772.364673,"1"
"56",1,1,5,5,1,1,1,1,2,1,1,1,3,6,4,1,2,2,2,1,2,2,2,2,2,2,1,2,1,1,1,200,400,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,3,3,1,4,1,1,1,3,4,1,2,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,964.490383,"0"
"57",2,2,3,4,1,2,1,1,1,1,1,2,6,7,5,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,200,150,2,2,1,1,1,2,1,2,2,1,1,1,1,2,1,2,1,2,2,2,2,1,1,2,2,2,3,2,3,2,2,2,2,3,2,1,1,3,1,4,1,3,1,3,1,3,2,2,3,2,1,1,3,3,2,3,4,4,2,4,1368.533652,"0"
"58",2,1,5,4,1,2,1,1,1,1,1,2,9,7,5,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,1,160,40,2,2,2,3,2,3,3,2,3,3,4,2,3,2,1,3,2,1,1,1,2,2,1,3,1,1,3,2,2,3,2,3,1,2,1,1,2,3,1,3,2,2,1,2,1,1,1,2,1,2,1,2,3,3,4,3,4,4,4,4,964.490383,"1"
"59",2,1,3,5,1,2,1,2,1,1,1,2,6,7,5,2,2,2,2,2,2,2,1,2,1,1,2,2,1,1,1,200,100,2,2,3,1,1,4,3,3,1,2,1,1,2,1,1,2,1,1,2,1,2,1,1,3,1,2,4,3,2,4,2,4,4,2,4,3,2,2,2,2,2,2,3,2,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,964.490383,"0"
"60",1,1,5,4,1,2,1,1,2,1,1,2,7,6,6,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,160,60,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4,1,1,1,1,1,1,1,4,4,1,4,4,1,4,4,4,4,1,4,1,1,2,1,3,2,2,2,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,964.490383,"1"
"61",1,1,4,4,1,1,1,1,2,1,1,1,3,6,6,2,1,2,2,1,1,2,2,2,2,2,2,2,1,1,1,600,600,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,4,2,1,4,2,1,1,1,4,1,1,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,3,4,3,4,4,4,4,4,4,1368.533652,"0"
"62",1,2,5,3,1,2,2,1,2,1,1,2,8,8,6,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,200,200,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,4,1,1,4,1,1,1,1,4,1,1,1,4,1,4,1,2,1,1,1,1,1,1,1,1,1,1,4,4,4,3,4,4,4,4,964.490383,"0"
"63",1,1,5,3,1,2,1,1,2,1,2,2,6,7,4,2,2,2,2,2,2,1,1,1,2,2,1,2,1,1,1,160,200,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,4,2,3,3,4,3,4,2,3,4,3,4,2,2,2,2,3,2,3,3,3,2,3,2,3,2,2,2,2,3,3,3,3,3,4,3,4,1368.533652,"0"
"64",1,1,5,4,1,2,1,1,1,1,2,1,6,6,4,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,200,20,2,2,2,2,3,4,4,2,2,2,3,2,3,2,2,4,2,1,1,2,2,2,1,4,4,1,4,4,1,4,4,4,4,2,4,1,2,1,3,2,1,4,2,2,1,2,1,2,2,2,2,2,4,4,4,4,4,4,4,4,251.388833,"0"
"65",1,1,5,5,1,1,1,1,1,1,1,1,7,7,5,2,2,2,2,2,2,1,1,1,2,1,2,2,1,1,1,200,75,2,1,4,4,4,4,4,4,4,4,4,4,4,2,1,4,1,1,1,1,2,1,2,4,1,2,4,3,1,2,2,4,4,1,4,1,1,4,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,251.388833,"0"
"66",1,1,5,5,1,1,1,1,2,1,1,2,6,6,5,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,200,200,1,1,3,1,2,4,4,2,3,3,2,2,3,3,3,4,2,1,2,2,2,1,1,3,2,1,4,2,2,2,2,3,4,3,3,1,2,3,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2,2,4,4,4,4,3,4,251.388833,"1"
"67",1,1,5,3,1,2,1,1,2,1,1,2,6,6,5,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,1,200,60,1,2,4,2,4,4,4,4,3,4,1,2,3,2,3,4,2,1,1,1,2,2,1,3,2,1,3,3,2,4,3,3,4,1,3,2,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,4,3,3,4,4,4,251.388833,"0"
