"","IDCNTRY","IDBOOK","IDSCHOOL","IDCLASS","IDSTUD","IDGRADE","ITSEX","ITADMINI","ITLANG","MSBG01","MSBG03","MSBG04","MSBG05","MSBG06A","MSBG06B","MSBG06C","MSBG06D","MSBG06E","MSBG06F","MSBG06G","MSBG06H","MSBG06I","MSBG06J","MSBG07A","MSBG07B","MSBG08A","MSBG08B","MSBG09","MSBG10A","MSBG10B","MSBG10C","MSBG10D","MSBG10E","MSBG10F","MSBG10G","MSBG10H","MSBG10I","MSBG10J","MSBG10K","MSBG10L","MSBG10M","MSBG11A","MSBG11B","MSBG11C","MSBG11D","MSBG11E","MSBG11F","MSBG11G","MSBG11H","MSBG11I","MSBG12A","MSBG12B","MSBG13A","MSBG13B","MSBM14","MSBM15","MSBM16A","MSBM16B","MSBM17A","MSBM17BA","MSBM17BB","MSBM17BC","MSBM17C","MSBM18A","MSBM18B","MSBM18C","MSBM18D","MSBM18E","MSBM18F","MSBM18G","MSBM18H","MSBM18I","MSBM18J","MSBM18K","MSBM18L","MSBM18M","MSBM18N","MSBM18O","MSBM19A","MSBM19B","MSBM19C","MSBM19D","MSBM19E","MSBM19F","MSBM19G","MSBM20A","MSBM20B","MSBM20C","MSBM20D","MSBM20E","MSBM20F","MSBM20G","MSBM20H","MSBM20I","MSBM20J","MSBM20K","MSBM20L","MSBM21A","MSBM21B","MSBM21C","MSBM21D","MSBM21E","MSBM21F","MSBM21G","MSBM21H","MSBM21I","MSBM22A","MSBM22B","MSBM22C","MSBM22D","MSBM22E","MSBM22F","MSBM22G","MSBM22H","MSBM22I","MSBM23A","MSBM23B","MSBM23C","MSBM23D","MSBM23E","MSBM23F","MSBM23G","MSBM23H","ITACCOMM1","IDPOP","IDGRADER","MSDAGE","TOTWGT","HOUWGT","SENWGT","WGTADJ1","WGTADJ2","WGTADJ3","WGTFAC1","WGTFAC2","WGTFAC3","JKZONE","JKREP","MSMMAT01","MSMMAT02","MSMMAT03","MSMMAT04","MSMMAT05","MSMALG01","MSMALG02","MSMALG03","MSMALG04","MSMALG05","MSMCAL01","MSMCAL02","MSMCAL03","MSMCAL04","MSMCAL05","MSMGEO01","MSMGEO02","MSMGEO03","MSMGEO04","MSMGEO05","MSMKNO01","MSMKNO02","MSMKNO03","MSMKNO04","MSMKNO05","MSMAPP01","MSMAPP02","MSMAPP03","MSMAPP04","MSMAPP05","MSMREA01","MSMREA02","MSMREA03","MSMREA04","MSMREA05","MSMIBM01","MSMIBM02","MSMIBM03","MSMIBM04","MSMIBM05","MSBGHER","MSDGHER","MSBGEML","MSDGEML","MSBGSLM","MSDGSLM","MSBGSVM","MSDGSVM","MSBGSSB","MSDGSSB","MSDG06S","MSDGEDUP","MSDGOCCP","VERSION"
"2521",840,5,211,21101,2110113,12,1,1,1,1,1,5,5,1,2,1,1,1,1,1,2,NA,NA,6,7,9,NA,5,2,2,1,2,1,2,2,2,2,2,2,2,2,3,1,3,3,2,2,2,3,2,1,1,1,NA,240,300,2,NA,2,NA,NA,NA,NA,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,3,4,2,3,2,4,4,1,1,4,1,1,4,1,1,1,1,1,1,1,2,2,2,3,3,4,3,4,4,4,4,4,4,0,3,2,17.58,158.451738,0.988722,0.167353,1.23913,1,1,31.968333,1,4,27,1,516.82203,558.45677,506.42727,552.95863,537.26966,579.74845,568.94596,560.3787,532.58003,492.85635,609.45463,595.93542,563.61851,546.39796,553.35643,554.75946,524.01998,506.111,494.95972,478.7259,574.71685,539.46694,591.00136,539.79777,567.30464,558.30413,536.58942,540.99886,550.33241,544.28608,540.61919,522.02232,527.88304,538.35517,527.92269,2,3,2,3,2,13.29245,1,11.67448,1,8.65702,3,15.09728,1,9.49135,2,2,1,1,4
"2522",840,6,211,21101,2110114,12,2,1,1,2,1,3,5,2,2,2,2,1,1,1,2,NA,NA,7,6,9,NA,4,2,1,2,2,1,2,2,2,2,2,2,2,1,3,2,2,3,2,2,3,3,1,1,1,1,NA,225,120,2,NA,2,NA,NA,NA,NA,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,2,3,1,1,3,2,3,2,1,1,4,1,1,4,2,2,1,2,3,4,3,2,2,2,4,4,1,1,2,3,4,2,4,1,0,3,2,17.92,158.451738,0.988722,0.167353,1.23913,1,1,31.968333,1,4,27,1,508.57294,504.99874,518.13971,526.21421,508.22456,479.94917,523.46966,519.25882,449.0969,521.22966,549.67922,526.69001,530.32386,507.02691,595.85054,466.45071,457.45141,466.36488,463.86075,402.41899,420.79205,431.12323,491.41091,491.83372,473.90374,541.40227,542.08798,540.14823,543.51143,523.73466,518.65323,526.32572,544.40875,506.47121,576.17543,2,2,2,2,2,10.73945,2,12.15065,1,10.02874,2,12.24486,1,7.02747,3,2,1,1,4
"2523",840,1,211,21101,2110115,12,1,1,1,1,1,3,4,1,2,1,1,2,1,1,1,NA,NA,7,6,10,5,4,2,2,2,2,2,2,2,2,2,2,1,2,2,3,3,3,3,3,2,3,3,1,1,1,1,NA,240,250,2,NA,2,NA,NA,NA,NA,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,1,3,1,2,4,2,2,3,3,2,3,3,3,1,1,2,1,1,2,1,1,2,3,2,3,4,2,2,2,2,2,4,4,4,4,4,4,4,4,0,3,2,18.5,158.451738,0.988722,0.167353,1.23913,1,1,31.968333,1,4,27,1,541.68082,529.38726,551.64362,547.31089,526.09891,552.11088,568.31451,566.6339,504.7214,541.73565,571.06825,589.9659,614.76516,509.1853,556.41538,512.6174,545.58594,502.02804,503.73076,554.93502,502.13754,533.43994,531.44722,561.39413,512.00228,513.10897,583.45297,556.0789,583.80319,540.39613,493.76902,565.58722,512.00026,551.65226,526.69415,2,2,3,2,2,10.73945,2,11.29738,1,8.65702,3,10.63156,2,7.87272,2,2,1,1,4
"2524",840,2,211,21101,2110116,12,1,1,1,1,1,5,5,1,2,1,1,1,1,1,1,NA,NA,7,7,2,11,5,2,2,2,2,2,2,2,2,1,1,1,2,2,2,3,3,2,3,3,3,3,NA,1,1,1,NA,240,200,1,300,2,NA,NA,NA,NA,1,1,2,3,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,3,1,4,3,3,4,4,3,4,1,4,3,2,3,1,1,4,1,4,3,3,2,2,2,2,3,3,1,2,3,2,4,4,4,4,4,4,0,3,2,18.5,158.451738,0.988722,0.167353,1.23913,1,1,31.968333,1,4,27,1,551.82368,544.81883,535.93955,535.71412,507.81415,519.29177,507.40215,490.49182,537.06915,520.71076,536.47439,601.73169,535.60177,639.91129,599.16174,449.62778,553.56935,465.45846,540.10892,531.77976,552.14358,612.87327,558.98821,555.25335,557.59092,559.02908,552.9289,576.40413,563.64631,569.94519,596.00195,565.46715,576.60435,556.90864,533.21366,3,2,2,2,2,13.29245,1,9.9868,2,6.71198,3,9.28212,2,8.34184,2,2,1,1,4
"2525",840,3,211,21101,2110117,12,1,1,1,1,2,2,3,1,2,1,1,2,2,1,2,NA,NA,6,7,9,NA,5,2,2,2,2,2,2,2,2,2,1,2,2,2,3,3,3,2,3,2,3,2,1,2,2,1,NA,230,0,2,NA,2,NA,NA,NA,NA,1,1,1,3,2,1,2,1,1,1,1,2,2,1,1,1,1,1,2,2,1,2,3,2,2,3,3,2,3,2,3,2,4,2,1,1,2,2,1,3,2,3,2,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,0,3,2,18.5,158.451738,0.988722,0.167353,1.23913,1,1,31.968333,1,4,27,1,627.89606,662.46662,636.18737,644.4804,651.33523,608.74023,631.98641,612.9785,655.18852,612.59322,605.1466,622.69102,655.74197,661.51253,671.1071,593.70218,631.34984,629.70546,640.51026,647.81753,651.2866,679.23561,659.98203,641.24453,653.74709,626.82378,635.63544,680.37022,631.41655,640.51225,636.15085,612.75644,668.97987,629.75234,655.7448,4,4,4,4,4,9.51161,2,10.69789,1,9.03665,3,9.5793,2,12.45741,1,1,1,1,4
"2526",840,4,212,21201,2120101,12,1,1,1,1,3,2,5,1,2,1,2,2,1,2,1,NA,NA,1,1,4,8,5,2,2,2,1,2,2,2,2,2,1,1,2,2,3,3,3,2,1,2,3,2,1,2,2,2,3,235,180,1,900,2,NA,NA,NA,NA,1,1,1,2,2,1,NA,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,1,1,3,2,2,3,2,2,1,2,3,4,1,1,2,1,1,4,1,1,2,2,2,2,2,1,2,1,1,2,4,4,4,4,4,4,4,4,0,3,2,19,157.881181,0.985162,0.16675,1.23913,1,1.083333,29.402973,1,4,27,0,528.0013,498.38699,489.47121,488.94376,544.65967,483.11401,531.13452,511.9241,487.18254,522.29412,517.15554,565.32572,581.20203,529.43286,577.18471,431.74343,473.56938,417.14807,500.02529,519.41273,470.46616,482.51147,527.4344,490.09418,475.93848,519.97895,531.54152,533.35098,528.86512,510.36934,495.80438,453.83588,499.81757,492.53012,466.98627,2,2,2,2,2,5.988,3,11.59915,1,10.47196,2,11.58834,1,9.83727,2,1,5,3,4
"2527",840,5,212,21201,2120102,12,2,1,1,2,1,4,4,2,2,1,1,1,1,1,2,NA,NA,7,7,2,10,5,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,3,3,3,3,3,3,3,1,1,1,NA,240,30,2,NA,2,NA,NA,NA,NA,1,2,1,2,3,2,1,1,1,2,1,2,2,1,1,2,2,2,2,2,2,2,1,2,3,4,4,3,3,3,4,2,2,4,1,1,4,2,1,4,1,3,2,1,1,2,1,1,1,1,2,2,4,3,4,4,4,4,4,4,0,3,2,17.92,157.881181,0.985162,0.16675,1.23913,1,1.083333,29.402973,1,4,27,0,590.19687,554.71405,543.86702,496.32989,529.51217,534.95316,514.74992,520.04274,543.55998,538.86878,546.96089,532.90617,516.26203,552.7174,543.11023,519.17898,534.33048,539.68036,564.19776,535.70569,596.06378,541.56948,521.54046,613.42761,581.04427,572.03714,533.30312,551.67905,545.44716,558.71709,558.03223,526.48347,574.5677,545.54334,524.94536,3,3,2,2,2,11.62325,1,10.20742,2,8.27223,3,11.07036,1,11.09778,1,2,1,1,4
"2528",840,6,212,21201,2120103,12,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,NA,NA,6,5,NA,10,4,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,3,2,1,1,1,1,1,1,NA,240,90,2,NA,2,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,3,2,2,4,1,1,1,1,4,3,1,1,4,1,1,4,2,1,1,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,4,0,3,2,18.75,197.351477,1.231453,0.208438,1.23913,1,1.083333,29.402973,1,5,27,0,469.85811,528.06701,477.01006,548.05616,507.65722,477.28846,492.75329,511.41489,488.12369,509.19982,519.57253,551.51851,574.47939,556.07778,563.36989,456.45514,508.43683,467.11889,469.64378,499.24735,505.44577,531.11411,527.3172,500.59158,476.47699,517.75894,561.0084,527.62443,516.79274,509.54696,466.34077,515.74744,483.2478,497.15712,520.39732,1,2,2,2,2,13.29245,1,12.82864,1,12.23465,1,13.18781,1,11.66983,1,2,1,1,4
"2529",840,1,212,21201,2120104,12,1,1,1,1,1,3,4,1,2,1,2,1,2,1,1,NA,NA,6,5,8,NA,4,2,2,2,2,1,2,2,2,2,2,2,2,2,3,1,3,3,2,1,3,3,3,1,1,1,NA,230,200,2,NA,2,NA,NA,NA,NA,1,2,2,1,1,2,1,2,1,2,1,1,2,1,1,1,2,2,2,2,1,1,1,1,3,3,2,4,2,1,1,1,4,2,1,1,4,3,1,4,1,2,1,1,1,1,2,1,1,1,2,2,4,3,3,4,4,4,4,4,0,3,2,18.08,157.881181,0.985162,0.16675,1.23913,1,1.083333,29.402973,1,4,27,0,496.24879,522.50208,530.45134,534.72867,539.28759,460.39103,496.60896,494.04197,506.70984,482.70349,561.24065,545.99567,542.07297,580.96708,601.57546,505.29985,515.79235,528.33095,558.94855,527.66796,526.14045,487.719,580.03243,511.587,547.26693,512.43086,525.63712,572.55859,491.38903,531.89779,509.61083,518.07213,546.31854,528.16707,518.39598,2,2,2,2,2,8.46945,2,10.69789,1,11.86658,1,11.58834,1,11.09778,1,1,1,5,4
"2530",840,2,212,21201,2120105,12,1,1,1,1,2,4,4,1,2,1,1,1,1,1,2,NA,NA,7,8,NA,10,6,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,3,3,1,3,3,3,3,2,2,1,NA,230,100,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,1,1,2,2,2,1,2,1,1,1,1,3,3,2,4,1,1,3,2,4,2,1,1,4,1,2,4,2,1,2,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,0,3,2,17.92,157.881181,0.985162,0.16675,1.23913,1,1.083333,29.402973,1,4,27,0,631.4765,589.99291,615.62732,566.0865,598.55416,562.63336,513.97757,601.66784,569.7433,609.3677,572.61944,521.92403,615.8985,563.58603,644.26062,507.1703,505.59481,554.02096,511.11014,592.3122,572.69034,584.48158,558.26683,576.76069,568.14662,571.01265,569.37212,596.78734,590.01919,574.34533,568.50946,548.48638,585.75285,617.03087,576.9612,4,3,3,3,3,11.62325,1,10.95794,1,11.24022,2,11.58834,1,12.45741,1,2,1,1,4
